"","from","to","freq"
"4648","MEM","SDF",786
"4649","MIA","SDF",365
"4650","MKE","SDF",258
"4651","MSP","SDF",707
"4652","ORD","SDF",3496
"4653","PHL","SDF",2
"4654","PHX","SDF",365
"4655","RDU","SDF",426
"4656","SLC","SDF",2
"4657","STL","SDF",994
"4658","TPA","SDF",488
"4659","ABQ","SEA",721
"4660","ANC","SEA",6257
"4661","ATL","SEA",2574
"4662","AUS","SEA",149
"4663","BNA","SEA",364
"4664","BOI","SEA",1080
"4665","BOS","SEA",979
"4666","BUR","SEA",1390
"4667","BWI","SEA",242
"4668","CLE","SEA",231
"4669","CLT","SEA",481
"4670","CVG","SEA",790
"4671","DCA","SEA",727
"4672","DEN","SEA",6414
"4673","DFW","SEA",3915
"4674","DTW","SEA",1172
"4675","EWR","SEA",2030
"4676","FAI","SEA",956
"4677","GEG","SEA",4372
"4678","HNL","SEA",1643
"4679","IAD","SEA",1098
"4680","IAH","SEA",2393
"4681","IND","SEA",75
"4682","JFK","SEA",1855
"4683","JNU","SEA",1209
"4684","KOA","SEA",411
"4685","KTN","SEA",1289
"4686","LAS","SEA",5065
"4687","LAX","SEA",6876
"4688","LGB","SEA",1499
"4689","LIH","SEA",366
"4690","MCI","SEA",365
"4691","MCO","SEA",731
"4692","MDW","SEA",1331
"4693","MEM","SEA",349
"4694","MIA","SEA",366
"4695","MKE","SEA",122
"4696","MSP","SEA",2475
"4697","OAK","SEA",5047
"4698","OGG","SEA",533
"4699","ONT","SEA",1343
"4700","ORD","SEA",4802
"4701","PDX","SEA",2449
"4702","PHL","SEA",708
"4703","PHX","SEA",5072
"4704","PSP","SEA",664
"4705","RNO","SEA",799
"4706","SAN","SEA",2831
"4707","SFO","SEA",5414
"4708","SIT","SEA",227
"4709","SJC","SEA",3543
"4710","SLC","SEA",3771
"4711","SMF","SEA",3638
"4712","SNA","SEA",2862
"4713","STL","SEA",566
"4714","TUS","SEA",444
"4715","ABQ","SFO",530
"4716","ACV","SFO",2343
"4717","ANC","SFO",181
"4718","ASE","SFO",62
"4719","ATL","SFO",3462
"4720","AUS","SFO",610
"4721","BFL","SFO",943
"4722","BOI","SFO",1754
"4723","BOS","SFO",2668
"4724","BUR","SFO",2258
"4725","BWI","SFO",366
"4726","BZN","SFO",28
"4727","CEC","SFO",703
"4728","CIC","SFO",1390
"4729","CLE","SFO",466
"4730","CLT","SFO",1427
"4731","COS","SFO",364
"4732","CVG","SFO",777
"4733","DEN","SFO",5604
"4734","DFW","SFO",3486
"4735","DTW","SFO",1235
"4736","EUG","SFO",1919
"4737","EWR","SFO",2777
"4738","FAT","SFO",2438
"4739","FCA","SFO",12
"4740","HNL","SFO",2359
"4741","IAD","SFO",3139
"4742","IAH","SFO",2655
"4743","IND","SFO",173
"4744","JFK","SFO",6591
"4745","KOA","SFO",713
"4746","LAS","SFO",6994
"4747","LAX","SFO",13390
"4748","LGB","SFO",210
"4749","LIH","SFO",483
"4750","LMT","SFO",348
"4751","MCO","SFO",366
"4752","MDW","SFO",1083
"4753","MEM","SFO",208
"4754","MFR","SFO",2571
"4755","MIA","SFO",1097
"4756","MKE","SFO",115
"4757","MOD","SFO",1643
"4758","MRY","SFO",2428
"4759","MSO","SFO",12
"4760","MSP","SFO",1909
"4761","OGG","SFO",932
"4762","ONT","SFO",1599
"4763","ORD","SFO",5524
"4764","OTH","SFO",353
"4765","PDX","SFO",3088
"4766","PHL","SFO",2237
"4767","PHX","SFO",4884
"4768","PIT","SFO",369
"4769","PMD","SFO",728
"4770","PSP","SFO",1638
"4771","RDD","SFO",1680
"4772","RDM","SFO",1083
"4773","RNO","SFO",1886
"4774","SAN","SFO",6769
"4775","SAT","SFO",366
"4776","SBA","SFO",3047
"4777","SBP","SFO",1758
"4778","SEA","SFO",5409
"4779","SJC","SFO",1
"4780","SLC","SFO",3705
"4781","SMF","SFO",2300
"4782","SNA","SFO",3994
"4783","STL","SFO",574
"4784","TUS","SFO",365
"4785","ATL","SGF",1171
"4786","CVG","SGF",245
"4787","DEN","SGF",953
"4788","DFW","SGF",3231
"4789","DTW","SGF",363
"4790","ICT","SGF",1
"4791","MEM","SGF",1080
"4792","MSP","SGF",359
"4793","ORD","SGF",2306
"4794","SLC","SGF",1
"4795","STL","SGF",366
"4796","XNA","SGF",1
"4797","CDC","SGU",1
"4798","LAX","SGU",722
"4799","SLC","SGU",2594
"4800","ATL","SHV",1816
"4801","DFW","SHV",3579
"4802","DTW","SHV",360
"4803","IAH","SHV",1017
"4804","MEM","SHV",1094
"4805","ORD","SHV",211
"4806","JNU","SIT",863
"4807","KTN","SIT",365
"4808","SEA","SIT",104
"4809","ACV","SJC",1
"4810","ATL","SJC",640
"4811","AUS","SJC",968
"4812","BOS","SJC",256
"4813","BUR","SJC",3377
"4814","DEN","SJC",3684
"4815","DFW","SJC",2250
"4816","EWR","SJC",200
"4817","HNL","SJC",366
"4818","IAD","SJC",245
"4819","IAH","SJC",995
"4820","JFK","SJC",480
"4821","LAS","SJC",4148
"4822","LAX","SJC",8908
"4823","LGB","SJC",661
"4824","MDW","SJC",658
"4825","MSP","SJC",693
"4826","ONT","SJC",2742
"4827","ORD","SJC",1333
"4828","PDX","SJC",2322
"4829","PHX","SJC",4050
"4830","RNO","SJC",1364
"4831","SAN","SJC",5286
"4832","SBA","SJC",1208
"4833","SEA","SJC",3534
"4834","SFO","SJC",1
"4835","SLC","SJC",1372
"4836","SNA","SJC",5401
"4837","DFW","SJT",1315
"4838","ATL","SJU",1874
"4839","BDL","SJU",366
"4840","BOS","SJU",1274
"4841","BWI","SJU",319
"4842","CLE","SJU",43
"4843","CLT","SJU",796
"4844","DFW","SJU",985
"4845","DTW","SJU",155
"4846","EWR","SJU",1580
"4847","FLL","SJU",765
"4848","IAD","SJU",707
"4849","IAH","SJU",732
"4850","JFK","SJU",3565
"4851","LAX","SJU",144
"4852","MCO","SJU",2420
"4853","MEM","SJU",26
"4854","MIA","SJU",2559
"4855","MSP","SJU",26
"4856","ORD","SJU",1036
"4857","PHL","SJU",1474
"4858","PIT","SJU",1
"4859","STT","SJU",478
"4860","TPA","SJU",366
"4861","ABQ","SLC",2307
"4862","ACV","SLC",388
"4863","ANC","SLC",478
"4864","ASE","SLC",459
"4865","ATL","SLC",2860
"4866","AUS","SLC",548
"4867","BFL","SLC",371
"4868","BHM","SLC",8
"4869","BIL","SLC",1950
"4870","BLI","SLC",120
"4871","BNA","SLC",115
"4872","BOI","SLC",3342
"4873","BOS","SLC",707
"4874","BTM","SLC",708
"4875","BUR","SLC",1673
"4876","BWI","SLC",727
"4877","BZN","SLC",2029
"4878","CDC","SLC",666
"4879","CLE","SLC",346
"4880","CLT","SLC",212
"4881","CMH","SLC",291
"4882","COD","SLC",707
"4883","COS","SLC",1074
"4884","CPR","SLC",1006
"4885","CVG","SLC",1627
"4886","DCA","SLC",365
"4887","DEN","SLC",8905
"4888","DFW","SLC",3143
"4889","DRO","SLC",386
"4890","DSM","SLC",3
"4891","DTW","SLC",572
"4892","EKO","SLC",1577
"4893","ELP","SLC",121
"4894","EUG","SLC",711
"4895","EWR","SLC",812
"4896","FAI","SLC",80
"4897","FAR","SLC",95
"4898","FAT","SLC",845
"4899","FCA","SLC",1741
"4900","FLL","SLC",242
"4901","FSD","SLC",8
"4902","GCC","SLC",292
"4903","GEG","SLC",1951
"4904","GJT","SLC",1040
"4905","GTF","SLC",1051
"4906","GUC","SLC",13
"4907","HDN","SLC",378
"4908","HLN","SLC",1209
"4909","HNL","SLC",366
"4910","IAD","SLC",524
"4911","IAH","SLC",2696
"4912","ICT","SLC",1
"4913","IDA","SLC",1787
"4914","JAC","SLC",1485
"4915","JFK","SLC",1795
"4916","LAS","SLC",5378
"4917","LAX","SLC",5178
"4918","LGA","SLC",24
"4919","LGB","SLC",2500
"4920","LIT","SLC",18
"4921","LWS","SLC",650
"4922","MCI","SLC",1054
"4923","MCO","SLC",685
"4924","MDW","SLC",1003
"4925","MFR","SLC",724
"4926","MKE","SLC",6
"4927","MRY","SLC",6
"4928","MSO","SLC",1841
"4929","MSP","SLC",2197
"4930","MSY","SLC",329
"4931","MTJ","SLC",229
"4932","OAK","SLC",3146
"4933","OGG","SLC",261
"4934","OKC","SLC",743
"4935","OMA","SLC",609
"4936","ONT","SLC",1658
"4937","ORD","SLC",2860
"4938","PDX","SLC",3277
"4939","PHL","SLC",670
"4940","PHX","SLC",7177
"4941","PIH","SLC",1659
"4942","PIT","SLC",218
"4943","PSC","SLC",1600
"4944","PSP","SLC",898
"4945","RAP","SLC",757
"4946","RDM","SLC",719
"4947","RDU","SLC",327
"4948","RKS","SLC",351
"4949","RNO","SLC",1814
"4950","SAN","SLC",2549
"4951","SAT","SLC",587
"4952","SBA","SLC",685
"4953","SBP","SLC",284
"4954","SDF","SLC",3
"4955","SEA","SLC",3774
"4956","SFO","SLC",4064
"4957","SGU","SLC",2594
"4958","SJC","SLC",1372
"4959","SLE","SLC",484
"4960","SMF","SLC",1660
"4961","SNA","SLC",2015
"4962","STL","SLC",1386
"4963","SUN","SLC",2870
"4964","TPA","SLC",329
"4965","TUL","SLC",599
"4966","TUS","SLC",1485
"4967","TWF","SLC",1810
"4968","WYS","SLC",264
"4969","XNA","SLC",4
"4970","YKM","SLC",340
"4971","YUM","SLC",440
"4972","SLC","SLE",484
"4973","ABQ","SMF",466
"4974","ACV","SMF",618
"4975","ATL","SMF",682
"4976","BFL","SMF",227
"4977","BUR","SMF",3458
"4978","CLT","SMF",76
"4979","COS","SMF",424
"4980","DEN","SMF",3331
"4981","DFW","SMF",1346
"4982","GEG","SMF",375
"4983","HNL","SMF",366
"4984","IAD","SMF",365
"4985","IAH","SMF",1085
"4986","JFK","SMF",341
"4987","LAS","SMF",4054
"4988","LAX","SMF",5692
"4989","LGB","SMF",729
"4990","MCI","SMF",306
"4991","MDW","SMF",686
"4992","MSP","SMF",809
"4993","OAK","SMF",1
"4994","OGG","SMF",60
"4995","OKC","SMF",226
"4996","ONT","SMF",3803
"4997","ORD","SMF",1077
"4998","PDX","SMF",2484
"4999","PHL","SMF",207
"5000","PHX","SMF",4134
"5001","RDD","SMF",1
"5002","SAN","SMF",4603
"5003","SAT","SMF",226
"5004","SEA","SMF",3642
"5005","SFO","SMF",2301
"5006","SLC","SMF",1660
"5007","SNA","SMF",2498
"5008","TUL","SMF",225
"5009","TUS","SMF",465
"5010","LAX","SMX",1679
"5011","SFO","SMX",2
"5012","SJC","SMX",1
"5013","ATL","SNA",1461
"5014","AUS","SNA",245
"5015","CVG","SNA",285
"5016","DEN","SNA",3340
"5017","DFW","SNA",3669
"5018","EWR","SNA",908
"5019","HNL","SNA",66
"5020","IAH","SNA",1873
"5021","KOA","SNA",37
"5022","LAS","SNA",4115
"5023","LAX","SNA",32
"5024","LIH","SNA",23
"5025","MSP","SNA",1037
"5026","OAK","SNA",3645
"5027","OGG","SNA",60
"5028","ORD","SNA",2580
"5029","PDX","SNA",1421
"5030","PHX","SNA",5497
"5031","RNO","SNA",60
"5032","SEA","SNA",2860
"5033","SFO","SNA",3955
"5034","SJC","SNA",5383
"5035","SLC","SNA",2016
"5036","SMF","SNA",2503
"5037","STL","SNA",305
"5038","CMI","SPI",1
"5039","IAD","SPI",141
"5040","MSP","SPI",1
"5041","ORD","SPI",1085
"5042","SDF","SPI",1
"5043","DFW","SPS",1831
"5044","ATL","SRQ",3326
"5045","BOS","SRQ",23
"5046","BWI","SRQ",245
"5047","CLE","SRQ",118
"5048","CLT","SRQ",207
"5049","CVG","SRQ",444
"5050","DCA","SRQ",12
"5051","DTW","SRQ",219
"5052","EWR","SRQ",399
"5053","IAH","SRQ",70
"5054","IND","SRQ",155
"5055","JFK","SRQ",534
"5056","LGA","SRQ",74
"5057","MDW","SRQ",565
"5058","STL","SRQ",38
"5059","ABQ","STL",366
"5060","ATL","STL",3958
"5061","AUS","STL",95
"5062","BHM","STL",366
"5063","BNA","STL",258
"5064","BOS","STL",865
"5065","BWI","STL",1682
"5066","CLE","STL",1191
"5067","CLT","STL",1094
"5068","CMH","STL",679
"5069","CVG","STL",345
"5070","DAL","STL",2722
"5071","DCA","STL",1296
"5072","DEN","STL",2126
"5073","DFW","STL",3598
"5074","DTW","STL",2516
"5075","EVV","STL",1
"5076","EWR","STL",1707
"5077","FAR","STL",1
"5078","FLL","STL",470
"5079","HOU","STL",1348
"5080","IAH","STL",736
"5081","ICT","STL",1
"5082","JFK","STL",795
"5083","LAS","STL",1647
"5084","LAX","STL",1686
"5085","LGA","STL",1604
"5086","LIT","STL",669
"5087","MCI","STL",1763
"5088","MCO","STL",2422
"5089","MDW","STL",3784
"5090","MEM","STL",1049
"5091","MIA","STL",732
"5092","MKE","STL",320
"5093","MSP","STL",1626
"5094","OKC","STL",688
"5095","OMA","STL",1033
"5096","ORD","STL",4558
"5097","PHL","STL",578
"5098","PHX","STL",2755
"5099","RDU","STL",358
"5100","RSW","STL",417
"5101","SAN","STL",366
"5102","SAT","STL",246
"5103","SDF","STL",995
"5104","SEA","STL",567
"5105","SFO","STL",574
"5106","SGF","STL",368
"5107","SLC","STL",1386
"5108","SNA","STL",306
"5109","SRQ","STL",37
"5110","TPA","STL",1099
"5111","TUL","STL",890
"5112","ATL","STT",451
"5113","BOS","STT",88
"5114","CLT","STT",418
"5115","DTW","STT",16
"5116","EWR","STT",232
"5117","IAD","STT",137
"5118","JFK","STT",366
"5119","LGA","STT",9
"5120","MIA","STT",732
"5121","ORD","STT",80
"5122","PHL","STT",198
"5123","SJU","STT",245
"5124","ATL","STX",67
"5125","CLT","STX",20
"5126","MIA","STX",349
"5127","SLC","SUN",2903
"5128","TWF","SUN",2
"5129","MSP","SUX",121
"5130","ATL","SWF",1617
"5131","DTW","SWF",724
"5132","FLL","SWF",476
"5133","MCO","SWF",834
"5134","PBI","SWF",359
"5135","TPA","SWF",235
"5136","ATL","SYR",1419
"5137","CLE","SYR",696
"5138","CLT","SYR",747
"5139","CMH","SYR",1
"5140","CVG","SYR",831
"5141","DCA","SYR",313
"5142","DFW","SYR",178
"5143","DTW","SYR",1015
"5144","EWR","SYR",993
"5145","FLL","SYR",328
"5146","IAD","SYR",653
"5147","JFK","SYR",1824
"5148","MCO","SYR",390
"5149","ORD","SYR",2314
"5150","PHL","SYR",334
"5151","PHX","TEX",194
"5152","ATL","TLH",2484
"5153","CLT","TLH",240
"5154","FLL","TLH",262
"5155","IAH","TLH",481
"5156","MCO","TLH",219
"5157","MEM","TLH",1094
"5158","MIA","TLH",832
"5159","TPA","TLH",301
"5160","ATL","TOL",119
"5161","CVG","TOL",20
"5162","ORD","TOL",1337
"5163","ABQ","TPA",366
"5164","ALB","TPA",391
"5165","ATL","TPA",7311
"5166","AUS","TPA",367
"5167","BDL","TPA",1276
"5168","BHM","TPA",1071
"5169","BNA","TPA",1720
"5170","BOS","TPA",1785
"5171","BUF","TPA",729
"5172","BWI","TPA",3388
"5173","CAK","TPA",359
"5174","CLE","TPA",874
"5175","CLT","TPA",2811
"5176","CMH","TPA",972
"5177","CVG","TPA",1099
"5178","DAY","TPA",204
"5179","DCA","TPA",1554
"5180","DEN","TPA",1682
"5181","DFW","TPA",2803
"5182","DTW","TPA",1452
"5183","EWR","TPA",2838
"5184","FLL","TPA",3036
"5185","FNT","TPA",200
"5186","GPT","TPA",366
"5187","HOU","TPA",1396
"5188","HPN","TPA",60
"5189","IAD","TPA",1746
"5190","IAH","TPA",1963
"5191","IND","TPA",1587
"5192","ISP","TPA",1080
"5193","JAX","TPA",1017
"5194","JFK","TPA",3390
"5195","LAS","TPA",1175
"5196","LAX","TPA",516
"5197","LGA","TPA",1464
"5198","MCI","TPA",695
"5199","MCO","TPA",1
"5200","MDW","TPA",2231
"5201","MEM","TPA",861
"5202","MHT","TPA",742
"5203","MIA","TPA",1829
"5204","MKE","TPA",178
"5205","MSP","TPA",1005
"5206","MSY","TPA",1097
"5207","ORD","TPA",2443
"5208","ORF","TPA",366
"5209","PBI","TPA",1365
"5210","PHF","TPA",95
"5211","PHL","TPA",3390
"5212","PHX","TPA",1022
"5213","PIT","TPA",1089
"5214","PNS","TPA",135
"5215","PVD","TPA",981
"5216","RDU","TPA",1057
"5217","ROC","TPA",366
"5218","SAT","TPA",365
"5219","SDF","TPA",489
"5220","SJU","TPA",366
"5221","SLC","TPA",329
"5222","SRQ","TPA",2
"5223","STL","TPA",1088
"5224","SWF","TPA",235
"5225","TLH","TPA",301
"5226","ATL","TRI",1809
"5227","CLT","TRI",16
"5228","CVG","TRI",247
"5229","MEM","TRI",44
"5230","ABQ","TUL",230
"5231","AMA","TUL",1
"5232","ATL","TUL",1981
"5233","AUS","TUL",88
"5234","CLE","TUL",10
"5235","CVG","TUL",882
"5236","DAL","TUL",2277
"5237","DEN","TUL",1628
"5238","DFW","TUL",3256
"5239","DTW","TUL",726
"5240","EWR","TUL",343
"5241","HOU","TUL",1300
"5242","IAH","TUL",2310
"5243","LAS","TUL",390
"5244","LAX","TUL",73
"5245","MCI","TUL",810
"5246","MCO","TUL",9
"5247","MEM","TUL",1094
"5248","MSP","TUL",717
"5249","OKC","TUL",1
"5250","ONT","TUL",228
"5251","ORD","TUL",2040
"5252","PHX","TUL",1015
"5253","SAN","TUL",228
"5254","SAT","TUL",89
"5255","SLC","TUL",602
"5256","SMF","TUL",228
"5257","STL","TUL",899
"5258","ATL","TUP",9
"5259","ABQ","TUS",719
"5260","ATL","TUS",668
"5261","AUS","TUS",228
"5262","BUR","TUS",1
"5263","CLT","TUS",208
"5264","DEN","TUS",2089
"5265","DFW","TUS",2677
"5266","ELP","TUS",89
"5267","EWR","TUS",186
"5268","GEG","TUS",152
"5269","HSV","TUS",1
"5270","IAD","TUS",112
"5271","IAH","TUS",1670
"5272","JFK","TUS",132
"5273","LAS","TUS",2018
"5274","LAX","TUS",4141
"5275","MCI","TUS",233
"5276","MDW","TUS",727
"5277","MKE","TUS",2
"5278","MSP","TUS",439
"5279","OAK","TUS",307
"5280","OMA","TUS",221
"5281","ONT","TUS",474
"5282","ORD","TUS",865
"5283","PHX","TUS",3684
"5284","RNO","TUS",222
"5285","SAN","TUS",1413
"5286","SAT","TUS",240
"5287","SEA","TUS",443
"5288","SFO","TUS",365
"5289","SLC","TUS",1485
"5290","SMF","TUS",467
"5291","CVG","TVC",129
"5292","DEN","TVC",88
"5293","DTW","TVC",1209
"5294","FWA","TVC",1
"5295","LGA","TVC",50
"5296","MSP","TVC",346
"5297","ORD","TVC",2435
"5298","EKO","TWF",3
"5299","FAT","TWF",1
"5300","LGB","TWF",1
"5301","MFR","TWF",1
"5302","MSY","TWF",1
"5303","PSC","TWF",1
"5304","PSP","TWF",1
"5305","RAP","TWF",1
"5306","SFO","TWF",2
"5307","SGU","TWF",1
"5308","SLC","TWF",1772
"5309","SLE","TWF",2
"5310","SUN","TWF",1
"5311","DFW","TXK",1247
"5312","DFW","TYR",1585
"5313","ATL","TYS",2428
"5314","CLE","TYS",495
"5315","CVG","TYS",916
"5316","DEN","TYS",510
"5317","DFW","TYS",1505
"5318","DTW","TYS",1788
"5319","EWR","TYS",660
"5320","IAD","TYS",97
"5321","IAH","TYS",1353
"5322","JAX","TYS",1
"5323","LGA","TYS",642
"5324","MCO","TYS",126
"5325","MEM","TYS",1096
"5326","MSP","TYS",365
"5327","ORD","TYS",2017
"5328","ATL","VLD",938
"5329","ATL","VPS",3046
"5330","CVG","VPS",103
"5331","DFW","VPS",1962
"5332","IAH","VPS",420
"5333","LGA","VPS",2
"5334","MEM","VPS",1045
"5335","ORD","VPS",236
"5336","KTN","WRG",364
"5337","PSG","WRG",363
"5338","SLC","WYS",264
"5339","ATL","XNA",1769
"5340","ATW","XNA",1
"5341","AZO","XNA",1
"5342","CVG","XNA",101
"5343","DCA","XNA",210
"5344","DEN","XNA",686
"5345","DFW","XNA",2780
"5346","DTW","XNA",362
"5347","EWR","XNA",545
"5348","IAH","XNA",1435
"5349","IND","XNA",1
"5350","LAX","XNA",359
"5351","LGA","XNA",765
"5352","MEM","XNA",1041
"5353","MIA","XNA",154
"5354","MSP","XNA",677
"5355","ORD","XNA",3116
"5356","RDU","XNA",104
"5357","SLC","XNA",4
"5358","TUL","XNA",1
"5359","CDV","YAK",362
"5360","JNU","YAK",363
"5361","SLC","YKM",338
"5362","IPL","YUM",343
"5363","LAS","YUM",99
"5364","LAX","YUM",1030
"5365","PHX","YUM",1962
"5366","SLC","YUM",440
